Issue Key,Issue Type,Sprint,Epic,Summary,Description,Estimate,Suggested Owner,Depends On,Acceptance Criteria
SCAV-200,Epic,Sprint 1,FAIR-PLAY,"Fair Start and Anti-Cheat Foundation","Deliver wave starts, geofence checks, anti-cheat alerting, and submit idempotency so gameplay is fair and auditable.",L,Tech Lead,,"Epic complete when all Sprint 1 child stories are done and CI is green."
SCAV-300,Epic,Sprint 2,LIVE-OPS,"Logistics Automation and Incident Reliability","Deliver scheduled hints, announcements, incident mode controls, ops dashboard, and offline-safe retries.",L,Tech Lead,SCAV-200,"Epic complete when all Sprint 2 child stories are done and game-day drill passes."
SCAV-201,Story,Sprint 1,FAIR-PLAY,"Add DB schema for starts, geo checks, and alerts","Create migrations for team_start_windows, clue_geo_rules, team_location_checks, anti_cheat_alerts, and submission idempotency fields.",M,Backend Engineer,,"Migrations apply cleanly in local and prod; rollback scripts documented; no data loss in existing tables."
SCAV-202,Story,Sprint 1,FAIR-PLAY,"Implement admin start wave API","Add POST /api/admin/start-waves to assign start times and optional grace windows by team.",M,Backend Engineer,SCAV-201,"Admin can assign/update starts for all teams; invalid team IDs rejected; changes are auditable."
SCAV-203,Story,Sprint 1,FAIR-PLAY,"Enforce start gate in gameplay endpoints","Block scan-session, scan-validate, submit, pass, and sabotage before effective team start.",M,Backend Engineer,SCAV-202,"Blocked endpoints return 423 with secondsUntilStart and do not mutate state."
SCAV-204,Story,Sprint 1,FAIR-PLAY,"Create team start-state endpoint","Add GET /api/team/me/start-state for canStart, effectiveStartAt, waveName, and countdown.",S,Backend Engineer,SCAV-202,"Endpoint returns correct state before and after start; auth required."
SCAV-205,Story,Sprint 1,FAIR-PLAY,"Implement geofence rule model and admin management","Support per-clue geo requirements with radius and accuracy thresholds.",M,Backend Engineer,SCAV-201,"Admin can configure geo rules per clue; validation rejects malformed coordinates and radii."
SCAV-206,Story,Sprint 1,FAIR-PLAY,"Add location-check endpoint","Add POST /api/team/me/location-check and persist accepted/rejected checks with reason codes.",M,Backend Engineer,SCAV-205,"Outside radius or low accuracy returns accepted=false with reasonCode; valid checks return accepted=true and distanceM."
SCAV-207,Story,Sprint 1,FAIR-PLAY,"Implement anti-cheat signal engine","Generate alerts for impossible speed, suspicious IP/device churn, repeated rapid retries, and duplicate media hash.",L,Backend Engineer,SCAV-206,"Alerts are written with severity and payload; flagged submissions route to NEEDS_REVIEW path."
SCAV-208,Story,Sprint 1,FAIR-PLAY,"Expose admin anti-cheat queue APIs","Add GET /api/admin/anti-cheat/alerts and POST /api/admin/anti-cheat/alerts/{id}/resolve.",M,Backend Engineer,SCAV-207,"Admin can filter by status/severity/team with pagination and resolve alerts with notes."
SCAV-209,Story,Sprint 1,FAIR-PLAY,"Add submit idempotency","Require x-idempotency-key on /api/team/me/submit and enforce unique(team,idempotencyKey) behavior.",M,Backend Engineer,SCAV-201,"Same payload + same key returns original submissionId; mismatched payload returns 409."
SCAV-210,Story,Sprint 1,FAIR-PLAY,"Build Admin UI for anti-cheat operations","Add anti-cheat tab with alert queue, severity badges, and resolve actions.",M,Admin Frontend Engineer,SCAV-208,"Admins can resolve alerts from UI and see queue refresh in realtime or polling."
SCAV-211,Story,Sprint 1,FAIR-PLAY,"Update OpenAPI and backend integration tests","Document new endpoints and add tests for start gating, geofence checks, alerts, and idempotency.",M,QA Automation Engineer,SCAV-203 SCAV-206 SCAV-208 SCAV-209,"CI covers happy-path and failure-path cases; all tests pass in GitHub Actions."
SCAV-212,Task,Sprint 1,FAIR-PLAY,"Production rollout for Sprint 1","Run migrations, verify health, and validate key flows in production.",S,DevOps Engineer,SCAV-211,"Prod migration succeeds; smoke tests pass; rollback instructions verified."
SCAV-301,Story,Sprint 2,LIVE-OPS,"Add schema and logic for scheduled hints","Create clue_hints and team_hint_events with release_after_seconds and penalty points.",M,Backend Engineer,SCAV-212,"Hints become available only at release time; hint events are persisted and auditable."
SCAV-302,Story,Sprint 2,LIVE-OPS,"Implement hint request APIs","Add POST /api/admin/clues/{clueIndex}/hints and POST /api/team/me/hints/request.",M,Backend Engineer,SCAV-301,"Teams cannot request unavailable hints; allowed hints deduct exact points once per request."
SCAV-303,Story,Sprint 2,LIVE-OPS,"Add announcements backend and receipts","Add create/list/read announcement endpoints with team delivery/read receipts.",M,Backend Engineer,SCAV-212,"Broadcast and targeted announcements deliver via socket and are retrievable via polling API."
SCAV-304,Story,Sprint 2,LIVE-OPS,"Build admin announcement composer UI","Allow all-team and per-team sends with severity and expiry controls.",M,Admin Frontend Engineer,SCAV-303,"Admin can send, preview, and verify delivery/read stats in UI."
SCAV-305,Story,Sprint 2,LIVE-OPS,"Implement incident mode backend","Add NORMAL, DEGRADED, HARD_PAUSE mode handling and enforcement across mutating gameplay endpoints.",M,Backend Engineer,SCAV-212,"HARD_PAUSE blocks all mutating play actions with 423; read endpoints remain available."
SCAV-306,Story,Sprint 2,LIVE-OPS,"Build incident mode admin controls","Add one-click mode switch with reason and visible active-mode banner.",S,Admin Frontend Engineer,SCAV-305,"Mode changes apply within 5s and are reflected in admin/player status displays."
SCAV-307,Story,Sprint 2,LIVE-OPS,"Create ops dashboard endpoint","Add GET /api/admin/ops/dashboard for review backlog, anti-cheat queue, socket health, and p95 submission latency.",M,Backend Engineer,SCAV-305,"Endpoint returns bounded metrics quickly (<500ms under normal load)."
SCAV-308,Story,Sprint 2,LIVE-OPS,"Implement offline-safe retry queue","Add client-side queued actions with stable idempotency keys and replay on reconnect.",L,Mobile Engineer,SCAV-209 SCAV-305,"Reconnect does not create duplicate scoring; queued actions replay in order with user-visible sync state."
SCAV-309,Story,Sprint 2,LIVE-OPS,"Update smoke scripts and runbook for new controls","Extend smoke/synthetic checks and runbook steps for hints, announcements, and incident mode drills.",S,DevOps Engineer,SCAV-302 SCAV-303 SCAV-305,"Scripts verify new endpoints and incident behavior; runbook includes game-day commands."
SCAV-310,Story,Sprint 2,LIVE-OPS,"Complete E2E and load validation","Add Playwright + API tests plus light load test for finals submission spikes.",M,QA Automation Engineer,SCAV-304 SCAV-306 SCAV-308,"E2E pass in CI; load test shows no duplicate submissions and acceptable latency under target concurrency."
SCAV-311,Task,Sprint 2,LIVE-OPS,"Game-day rehearsal","Execute full event drill including staggered starts, anti-cheat triage, announcements, and incident pause/resume.",M,Product Ops Lead,SCAV-310,"Drill completed in <60 minutes with documented findings and no P1 blockers."
